ats,companySlug,urlType,title,jobUrl,indiaMentioned,marketingLeadership,snippet
greenhouse,oliverseapac,post,Job Application for GTM Marketing Manager at OLIVER Agency ...,https://boards.greenhouse.io/oliverseapac/jobs/7442926,yes,yes,"Location: Bangalore, India. Work Timings: 5:30am to 2:30pm ... We're looking for a highly skilled and strategic Product Marketing Manager to join our team."
greenhouse,appliedintuition,post,Careers | Automation engineering & more - Applied Intuition,https://boards.greenhouse.io/appliedintuition/jobs/4692876005,yes,no,"Marketing Manager. Sunnyvale, California, United States. Sunnyvale, California ... Firmware Engineer (Founding Team). Bengaluru, Karnataka, India. Bengaluru, ..."
greenhouse,fingerprint,post,Fingerprint Careers - Join Our 100% Remote Team,https://boards.greenhouse.io/fingerprint/jobs/5992297004,yes,no,"Senior Product Marketing Manager - USRemote. People. HR Business Partner - R&DRemote. Product. TPM, Admin & Management WorkflowsRemote. RevOps. Senior Revenue ..."
greenhouse,abbyy,post,Jobs at ABBYY - Greenhouse,https://boards.greenhouse.io/abbyy/jobs/4807518101,yes,no,"Marketing. Job. Demand Generation and Field Marketing (6 - 8 months contract) ... Bangalore, India (Hybrid) · Principal Machine Learning Engineer, Document AI ..."
greenhouse,nebius,post,Open positions at Nebius: Find your role,https://boards.greenhouse.io/nebius/jobs/4816975101,yes,no,"Growth Marketing Manager , Tavily. Marketing. Remote - United States · GSI ... Marketing Operations Manager. Marketing. Remote - United States · Mechanical ..."
greenhouse,monks,post,Media Buyer (Remote) - Monks,https://boards.greenhouse.io/monks/jobs/5986076004,yes,no,Partner with Product Marketing Managers to achieve their goals and develop integrated campaign programs. What We Need: 4-5+ years experience in paid media ...
greenhouse,clickhouse,post,Job Application for Partner Sales Manager-India at ClickHouse,https://boards.greenhouse.io/clickhouse/jobs/6001185004,yes,no,"Develop and execute joint account plans, campaigns, and demand-generation activities with priority partners. Drive joint forecasting, pipeline visibility ..."
greenhouse,mariadbplc,post,Jobs at MariaDB plc - Greenhouse,https://boards.greenhouse.io/mariadbplc/jobs/4839415101,yes,no,"ESER - Engineering - Server. Job. Senior Software Engineer - Runtime. Remote - India ... Marketing Manager - EMEA (French or German Required). London, England ..."
greenhouse,litmos,post,Jobs at Litmos - Greenhouse,https://boards.greenhouse.io/litmos/jobs/4336340101,yes,no,India. Go-To-Market. Marketing. Job. Senior Product Marketing ManagerNew. United ... Engineering. Job. Principal EngineerNew. India · Senior Fullstack Software ...
greenhouse,telixus,post,Find a job - Telix Pharmaceuticals,https://boards.greenhouse.io/telixus/jobs/4677221006,yes,no,"Director Upstream Product Marketing PSMA Late Stage. Updated: Thursday, 21 May 2026. Apply Now. USA- Remote. Fellow, Nonclinical Sciences. Updated: Thursday, 21 ..."
greenhouse,primexbt,post,Job Application for Regional Marketing ManagerIPBS at primexbt,https://boards.greenhouse.io/primexbt/jobs/4861338101,no,yes,"As Regional Marketing Manager for IPBS, you own the marketing roadmap for one of the fastest-growing trading audiences in the world. You will translate ..."
greenhouse,smartbear,post,Job Application for Analyst Relations Manager at SmartBear,https://boards.greenhouse.io/smartbear/jobs/7671021003,no,no,"6–8+ years of experience in Analyst Relations, Product Marketing, or related B2B SaaS roles. • Proven success managing relationships with firms like Gartner ..."
greenhouse,crunchyroll,post,"GTM & Partner Marketing, Interactive Experiences, Senior ...",https://boards.greenhouse.io/crunchyroll/jobs/7376786?gh_jid=7376786&gh_src=70b15d081us,no,no,"8+ years experience in GTM, partnership, or product marketing within mobile games, interactive platforms, entertainment, or consumer tech, with ownership of end ..."
greenhouse,banyansoftware,post,Element34 at Banyan Software - Director of Sales - Greenhouse,https://boards.greenhouse.io/banyansoftware/jobs/5015577007,no,no,You combine enterprise sales acumen with hands-on demand generation experience. Qualifications. Required. 5–8 years of B2B SaaS sales experience with ...
greenhouse,duolingo,post,Duolingo Careers,https://boards.greenhouse.io/duolingo/jobs/8400588002?utm_source=Drive+Capital+job+board&utm_medium=getro.com&gh_src=Drive+Capital+job+board,no,no,Develop the best education in the world and make it universally available.
greenhouse,theknotworldwide,post,"Senior Director, Consumer Marketing - Greenhouse",https://boards.greenhouse.io/theknotworldwide/jobs/4974233008?utm_source=Spectrum+Equity+job+board&utm_medium=getro.com&gh_src=Spectrum+Equity+job+board,no,yes,"Lead Cross-Functional Collaboration: Partner closely with Product, Business Managers, and Marketing leadership (Product Marketing, Creative, CRM, Media, and ..."
greenhouse,alphasense,post,"Manager, Pre-Sales Consultant - Greenhouse",https://boards.greenhouse.io/alphasense/jobs/8533559002?utm_source=Tribeca+Venture+Partners+job+board&utm_medium=getro.com&gh_src=Tribeca+Venture+Partners+job+board,no,no,"Building impactful relationships with cross-functional leaders (Sales, Account Management, Sales Enablement, Product, Marketing, etc.) to ensure alignment ..."
greenhouse,pingcap,post,"Job Application for Senior Marketing Manager ,India at TiDB",https://job-boards.greenhouse.io/pingcap/jobs/4173848009,yes,yes,"As we expand our footprint in India, we are looking for a Senior Marketing Manager who is ready to take our brand and community presence to the next level. The ..."
greenhouse,gitlab,post,"Senior Regional Marketing Manager, India - Greenhouse",https://job-boards.greenhouse.io/gitlab/jobs/8493033002,yes,yes,"You'll join a fully remote, globally distributed team that works asynchronously with account executives, marketing operations, product marketing, and external ..."
greenhouse,oliverseapac,post,Job Application for GTM Marketing Manager at OLIVER Agency,https://job-boards.greenhouse.io/oliverseapac/jobs/7442926,yes,yes,"Role: Product Marketing Manager. Location: Bangalore, India. Work Timings: 5:30am to 2:30pm. About the role: We're looking for a highly skilled and strategic ..."
greenhouse,enterpret,post,Founding Director of Product Marketing - Greenhouse,https://job-boards.greenhouse.io/enterpret/jobs/7622115003,no,yes,We're looking for a Founding Director of Product Marketing who can turn strategic narrative into market momentum. You'll work side by side with the VP of ...
greenhouse,monsterenergyapac,post,Marketing Manager (Gujarat & Rajasthan ) - Greenhouse,https://job-boards.greenhouse.io/monsterenergyapac/jobs/4233187009,no,yes,"As Marketing Manager, you'll lead the charge in driving change across the Asia marketing organization. You'll hunt for operational gaps, tear down ..."
greenhouse,ethoslife,post,Senior Marketing Operations Manager - Greenhouse,https://job-boards.greenhouse.io/ethoslife/jobs/8181687002,no,yes,"We're looking for an experienced Senior Marketing Operations Manager to oversee the delivery and analysis of Ethos' CRM lifecycle campaigns, with an emphasis on ..."
greenhouse,skillsoft,post,Current Opportunities - Careers - Skillsoft,https://job-boards.greenhouse.io/skillsoft/jobs/4631122005,yes,no,"India - Hyderabad. Manager, Software Engineering. Product and Technology Department. Apply Now. India - Remote. Event Marketing Manager. Marketing Department."
greenhouse,miqdigital,post,Job Application for Product Marketing Manager at MiQ Digital,https://job-boards.greenhouse.io/miqdigital/jobs/8306895002,yes,yes,"Role: Product Marketing Manager. Location: Mumbai. What you'll do. We're MiQ, a global programmatic media partner for marketers and agencies."
greenhouse,scopely,post,APAC Marketing Operations Manager - Greenhouse,https://job-boards.greenhouse.io/scopely/jobs/5141567008,yes,yes,"APAC Marketing Operations Manager. IN - Bangalore, India. APPLY. We are ... Product Marketing Manager (PMM). Oversee the optimization of DM, Channel ..."
greenhouse,conga,post,Principal Partner Marketing Manager - Greenhouse,https://job-boards.greenhouse.io/conga/jobs/5103665007,no,yes,"As Principal Partner Marketing Manager, you will play a crucial role in defining the GTM strategies and building a deep relationship with our partners. Are You ..."
greenhouse,stripe,post,"Consumer Product Marketing Lead, Link - Stripe",https://job-boards.greenhouse.io/stripe/jobs/7947510,no,yes,"Product Marketing is a highly cross-functional role at Stripe, partnering closely with Product and Engineering, Sales, Partnerships, Demand Generation and ..."
greenhouse,figma,post,Careers at Figma,https://job-boards.greenhouse.io/figma/jobs/5621177004?gh_jid=5621177004,no,no,"Head of Marketing, LATAM (São Paulo, Brazil) · Launch Strategy, Brand & Comms · Manager, Advocacy · Product Marketing Manager, Monetization · Regional Marketing ..."
greenhouse,neysanetwork,post,Digital Growth Marketing Lead - Greenhouse,https://job-boards.greenhouse.io/neysanetwork/jobs/4230872009,yes,yes,"6 days ago · Role : Digital Growth Marketing Lead,. Location :Mumbai, India Reporting to: Director of Marketing. Role summary."
greenhouse,oliverseapac,post,Product Marketing Manager - Greenhouse,https://job-boards.greenhouse.io/oliverseapac/jobs/7920892,yes,yes,"As an Android Product Marketing Manager for Google in India, you will be responsible for building and establishing Android as the OS of choice. You will be ..."
greenhouse,alphasense,post,"Marketing Manager, MarketResearch.com - Greenhouse",https://job-boards.greenhouse.io/alphasense/jobs/8524008002,no,yes,"As our primary Marketing Manager, you will lead the development of our demand generation strategy and oversee end-to-end campaign execution to support sales ..."
greenhouse,udemy,post,Careers | About Udemy,https://job-boards.greenhouse.io/udemy/jobs/5437714004,yes,no,"Udemy is headquartered in San Francisco with global offices in Australia, India, Ireland, Türkiye, and the US. ... Senior Marketing Manager. Remote, Japan. Sales ..."
greenhouse,wizinc,post,Careers at Wiz,https://job-boards.greenhouse.io/wizinc/jobs/4646850006,yes,no,Public Sector Account Executive - North India. Sales. /Field Sales. Delhi ... Senior Product Marketing Manager. Marketing. /Brand & Product. Remote - USA.
greenhouse,inovalon,post,Careers with Inovalon - View Openings,https://job-boards.greenhouse.io/inovalon/jobs/7714847003,yes,no,"Senior Director, Product Marketing- Life Science Remote- United States ... Hyderabad, India. Staff Software Engineer Gurugram, India. Staff Software ..."
greenhouse,harnessinc,board,Careers at Harness: Open Positions & Job Opportunities,https://job-boards.greenhouse.io/harnessinc?error=true,yes,no,"Marketing Operations (1), Product Marketing (2), People & Workplace (3), People ... Bengaluru, Karnataka, India. Apply. Customer Success, Customer ..."
greenhouse,gitlab,board,Jobs at GitLab - Greenhouse,https://job-boards.greenhouse.io/gitlab?keyword=CUstomer,yes,no,"Lead Product Marketing Manager, Pricing and Packaging. Remote, Canada; Remote, US. Marketing. Regional Marketing. Job. Senior Regional Marketing Manager, India."
greenhouse,newrelic,post,Job Application for Senior Field Marketing Manager at New Relic,https://job-boards.greenhouse.io/newrelic/jobs/5213974008,no,yes,"Senior Field Marketing Manager · 7-10 years experience working in Field Marketing, preferably in the B2B technology space · With experience in trade shows, ..."
greenhouse,oliverseapac,post,Job Application for Social Marketing Manager at OLIVER Agency,https://job-boards.greenhouse.io/oliverseapac/jobs/7898925,yes,yes,"Location: Mumbai, India. About the role: We are hiring a Social Marketing Manager to shape and grow the social presence for a creator-focused audience in India."
greenhouse,nice,post,Careers at NiCE,https://job-boards.greenhouse.io/nice/jobs/4857847101,yes,no,"India - Mumbai, India - Pune, India - Remote, Israel - Raanana, Japan, Japan ... Product Marketing Manager, Actimize. USA - Hoboken, NJ · Sales Enablement ..."
greenhouse,wekatest,board,Careers - WEKA,https://job-boards.greenhouse.io/wekatest?error=true,yes,no,"Director of Strategic Alliances - Server OEM Partners - U.S. Remote. U.S. Remote. Read More. Marketing. Senior Field Marketing Manager, Middle East & Africa ..."
greenhouse,scopely,post,Job Application for Senior Product Marketing Manager at Scopely,https://job-boards.greenhouse.io/scopely/jobs/5086908008,no,yes,"Drive GTM execution in collaboration with UA, ASO, and Product Marketing Manager teams. Represent creative and marketing strategy in cross-functional planning ..."
greenhouse,alphasense,post,"Director, Product Marketing – International (EMEA & APAC)",https://job-boards.greenhouse.io/alphasense/jobs/8445015002,no,yes,We are hiring a Director of Product Marketing – International (EMEA and APAC) to define how AlphaSense wins across our priority international markets. This is ...
greenhouse,stripe,post,Marketing Operations Manager - Stripe,https://job-boards.greenhouse.io/stripe/jobs/7805386,no,yes,"You will recruit, manage, and develop a group of Marketing Operations Associates and team leads that are focused on delivering repeatable, measurable programs/ ..."
